car_id,model,price,depreciation,mileage,road_tax,deregistration_value,coe,curb_weight,power,car_features,car_accessories,descriptions,age_of_car,years_since_launch,trasmission_Auto,trasmission_Manual,number_of_owner_More than 6,type_Hatchback,type_Luxury Sedan,type_MPV,type_Mid-Sized Sedan,type_SUV,type_Sports Car,type_Stationwagon,type_Truck,type_Van
11,Aston Martin DBS Superleggera,880000.0,107690.0,12500.0,5834.0,383174.0,35310.0,1845.0,533.0,"Features Agent unit. 5.2L bi-turbo V12, 715bhp / 900 nm of torque, 8-speed ZF auto, 0-100 km/h in 3.4 seconds, top speed of 340 km/h. View specs of the Aston Martin V12 DBS (2018)","Accessories AML special paint - hyper red with obsidian black on red stitching, smoked rear lamps, 21"" forged ""y"" spoke gloss black DT wheels.","Description The 'Brute in a Suit' - now in a red velvet dinner jacket. But all the attributes we appreciate of the DBS Superleggera are still there. The DBS shares its design with the all-aluminum DB11. However, carbon fibre adorns much of the body in order to save weight. Powered by a spine-tingling V12, the Aston Martin DBS Superleggera is a true luxury sports car with style to spare.",4.133934218612348,5.0,1,0,0,0,0,0,0,0,1,0,0,0
12,Aston Martin DBX 4.0A,890000.0,72440.0,800.0,3922.0,365433.0,114009.0,2245.0,405.0,"Features 4L V8 twin turbo 543bhp 700nm, 0-100km in 4.5s, top speed at 291km/h, 9speed automatic gearbox, adaptive dampers & triple chamber air springs, AWD.","Accessories Am designer key, 360 parking camera, navigation, lane assist, blind spot information, adaptive cruise control, 22"" diamond turned rims.","Description Magnetic silver with Sahara Tan interior, timeless certified pre owned management unit. Call to arrangement appointment to view this unit.",0.3010575062835807,2.0,1,0,0,0,0,0,0,0,1,0,0,0
13,Aston Martin New Vantage 4.0A,516666.0,68720.0,50000.0,3922.0,217452.0,32000.0,1685.0,375.0,"Features Aston Martin vantage Coupe comes with 4L V8 engine, 502bhp and 6,000rpm generating 2,000 rpm torque, top speed of 320km/h and 0-100km/h in 3.6 seconds View specs of the Aston Martin Vantage (2018)","Accessories Factory stock, cool and lite PPF paint protection fitted since day 1, full black pack.","Description Rare 01 owner and driver, not driven by anybody else in the family, Wearnes serviced and maintained, as ton martin extended factory warranty till 25 October 2023, never driven out of singapore, used for daily commute and leisure weekend drives. Extremely well kept and 100% accident free. Brand new battery and tyres replaced in late 2022.",4.479139698064403,5.0,1,0,0,0,0,0,0,0,1,0,0,0
14,Aston Martin V8 Vantage Coupe 4.7A ,199800.0,26590.0,82000.0,6630.0,26244.0,34935.0,1630.0,313.0,Features View specs of the Aston Martin V8,Accessories Maroon interior with matching white stitch. Very classy combination.,Description Fully stock vehicle. Hand-built in England. No weird modifications. Own it at the fraction of a PARF unit price. Don't wait to view and appreciate its beauty. Perfect chassis. Flexible loan packages available. Trade-ins welcomed.,12.306536958338375,14.0,1,0,0,0,0,0,0,0,1,0,0,0
15,Aston Martin V8 Vantage Coupe 4.7A Sportshift II,220800.0,59470.0,49838.0,5100.0,147985.0,72002.0,1610.0,313.2,Features 4.7L natural aspirated V8 engine. 420bhp and 470nm torque. 0 to 100km/h in 4.7s. Sportshift 7 speed auto. RWD. Top 290km/h. 300l boot. 80l fuel tank. View specs of the Aston Martin V8,"Accessories Premium leather interior. Slot in crystal key. USB audio. Dual electric memory seats. Hidden push door handles. 19"" forged rims. Xenon headlights. DRL",Description 100% guaranteed accident free. Full service history from day 1. New sportshift 3x faster. Enhanced driver engagement. Rare England handbuilt. 90% loan at 2.78%. Guaranteed loan for bad credit/ex-bankruptcy. View after lunch till 11pm Daily. By appointment only. Trade-In Most Welcome. Have Ready Buyers For Your Car At Good Price As Well.,8.429824629571252,11.0,1,0,0,0,0,0,0,0,1,0,0,0
16,Aston Martin Vanquish 6.0A,670000.0,104540.0,15000.0,6976.0,301307.0,48001.0,1739.0,423.0,Features Superb sounding 5.9 V12 engine. Producing 565bhp. 0 to 60 in 4.1 seconds with a top speed of 295km/h. View specs of the Aston Martin Vanquish,Accessories Lightning silver with light tan leather seat upholstery with white contrast stitching.,Description Agent unit. Extended warranty till Sep 2023. Car has been meticulously maintained. One of the best sounding V12S out there in the market. Not many left in Singapore. This is your chance to own one of Aston Martin's beautifully designed supercars. VIEWING BY APPOINTMENT ONLY.,5.561331478886321,7.0,1,0,0,0,0,0,0,0,1,0,0,0
17,Aston Martin Vantage 4.0A,500000.0,63440.0,26000.0,3922.0,221001.0,30959.0,1685.0,375.0,"Features Powered by a 4.0L twin turbo V8 engine, generating 502bhp and 685nm of torque. Acceleration from 0 to 100km/h in 3.6 seconds. View specs of the Aston Martin Vantage (2018)","Accessories Sporty jet black unit with red accent, duotone leather, contrast stitching wings embroidery, red seat belts, directional gloss black DT rims.",Description Agent unit under consignment. Car duly serviced and maintained under Wearnes Automotive. Call to arrange viewing for this performance unit.,4.314756136420567,5.0,1,0,0,0,0,0,0,0,1,0,0,0
18,Audi A1 1.4A TFSI S-tronic ,93999.0,11730.0,92000.0,744.0,33163.0,41397.0,1190.0,136.0,Features Twincharged 4 Cylinder (1.4L) Petrol Engine. 182bhp. 7 Speed S-tronic Transmission. 0-100km/h In 6.9 Seconds. View specs of the Audi A1 (2011-2013),Accessories Multi Function Steering Wheel With Paddle Shift. Full Keyless Entry And Start. Aircon With Auto Climate Control. Air Vent Sleeves In Hi-gloss Red.,"Description S-line sports package, inclusive of s-line sport suspension and 18"" alloy whee ls 5 arm rotor design in titanium look (Audi exclusive). Xenon plus headlights with LED daytime driving lights. Roof arches in contrasting colour. Super low mileage, 3 owners till date - all ladies. Scheduled servicing performed only by Audi's authorized agent Premium Automobiles.",11.903797232310977,12.0,1,0,0,1,0,0,0,0,0,0,0,0
19,Audi A1 Sportback 1.0A TFSI S-tronic,61800.0,16950.0,47360.0,392.0,20683.5,46952.5,1165.0,70.0,"Features 1.0l 3-cylinder turbocharged at 95bhp, 7-speed s-tronic (a), FWD. Light/rain sensor, LED daytime running lights. Flat tyre indicator, ISOFIX, airbags. View specs of the Audi A1 Sportback (2012-2017)Features Powered by a 3-cylinder 1l turbo charged TSFI engine with 7 speed s-tronic powering the front two wheels. View specs of the Audi A1 (2011-2013)","Accessories MMI radio, driver information system, Bluetooth interface, rear parking aid. Front sports seats, split folding rear seats. Automatic aircon.Accessories Multi function steering wheel, reverse sensors & auto climate control, keyless entry/start.",Description Certified quality standards. Agent Premium Automobile unit. 6 complimentary servicing sessions by Republic Auto.Description Pristine condition! Pi unit. 100% loan available from 2.78% per annum! 1 to 1 exchange without cash top up! Hurry and call our friendly sales adviser for more information before it's sold! Best price guaranteed!,6.614756136420567,7.5,1,0,0,1,0,0,0,0,0,0,0,0
20,Audi A1 Sportback 1.0A TFSI S-tronic S-Line,151000.0,15860.0,6074.0,392.0,68871.0,57010.0,1200.0,85.0,"Features Powerful, responsive and fuel efficient, 1.0L turbocharged engine, smooth 7 speed S-tronic transmission, traction control, ABS, SRS airbags View specs of the Audi A1 Sportback (2019-2022)","Accessories Original factory condition, keyless entry, start/stop, digital dashboard, cruise control, LED headlamps, chronos grey paint.",Description 1 owner only. In good well maintained condition. Low mileage and accident free. Original paintwork. Powerful yet economical. Low running cost. Massive savings. Best entry level super Mini continental car. You will love it.,1.3394136706671422,3.0,1,0,0,1,0,0,0,0,0,0,0,0
21,Audi A3 Sedan 1.0A TFSI S-tronic,88888.0,15080.0,80500.0,392.0,38124.0,40000.0,1280.0,85.0,"Features 1.0L, 3 cylinder turbocharged engine producing 113bhp and 200nm torque, 7 speed S-tronic gearbox, 0-100km/h in 9.9s, gearshift paddles, cruise control View specs of the Audi A3 Sedan (2014-2021)Features Responsive 1.0L 3-cylinder in-line 12-valve Turbocharged, 7-speed (A) S tronic, 114 BHP, paddle shifters, multi steering control, driver electric seat View specs of the Audi A3 Sedan (2014-2021)Features 1.0L 3 cylinders turbocharged engine with 113bhp, 200nm torque, 7 speed S-tronic gearbox, 0-100km/h in 9.9 seconds and excellent fc of 21km/L. View specs of the Audi A3 Sedan (2014-2021)Features Responsive 1L 3 cylinders turbocharged engine with 7 speed S-tronic gearbox,push start,keyless entry,DRL,auto headlights,traction off,cruise control. View specs of the Audi A3 Sedan (2014-2021)Features Fuel Efficient 3 Cylinder Turbocharged Engine Producing 113BHP! 200Nm Torque! 7 Speed S-Tronic Gearbox, Dynamic Rear Signal, 0 To 100Km/H In 9.9s View View specs of the Audi A3 Sedan (2014-2021)Features Responsive 1.0l 3 cylinders turbocharged engine with 7 speed auto s-tronic,keyless entry & start stop,auto headlights,cruise control, 6 x SRS airbags View specs of the Audi A3 Sedan (2014-2021)Features 113bhp 3 Cylinder Turbocharged Engine, 200nm Torque, 7 Speed S-tronic Gearbox, 0-100km/h In 9.9s, Cruise Control, ISOFIX. View specs of the Audi A3 Sedan (2014-2021)Features 1.0l Inline 3 Cylinder Turbocharged Engine, 7 Speed Auto S-Tronic, Audi Drive Select, ABS, ESP, 6x SRS Airbags, Paddle Shifters, Cruise Control View specs of the Audi A3 Sedan (2014-2021)Features Powered by VAG small but potent 1.0 turbocharged direct injection 3 cylinder engine producing 114hp 200nm. Great low mid range torque for overtaking. View specs of the Audi A3 Sedan (2014-2021)Features 1.0L TFSI engine, 113bhp, 7 speed S-tronic gearbox, dual climate aircon, front wheel drive, cruise control, keyless entry/ start, LED DRL. View specs of the Audi A3 Sedan (2014-2021)Features 1.0L TFSI engine, 113bhp, 7 speed S-tronic gearbox, dual climate aircon, front wheel drive, cruise control, keyless entry/ start, LED DRL. View specs of the Audi A3 Sedan (2014-2021)","Accessories Driver's electric seat, dual climatic aircon, knockdown rear seats, 16"" S-Line rims, black leather seats, bluetooth, dynamic driving modes.Accessories 18"" OZ Sports rims, brown leather seats, keyless entry/start/stop, reverse camera/sensors, bluetooth, retractable side mirror/indicator, drive selectAccessories Leather upholstery, keyless ignition, Bluetooth, LED/auto headlights, knockdown rear seats, reverse cameras, retractable side mirrors & paddle shifterAccessories Reverse camera, Bluetooth, RS3 bodykit, driver electric seat, multi function steering wheel, Audi mmi, upgraded 18"" Audi rims.Accessories Factory fitted audio system, electric seats, multi function steering, reverse sensors/camera, dual zone auto climate aircon, LED DRL, rear aircon.Accessories 18"" alloy wheels, electric seats, auto folding mirrors, Audi mmi with reverse camera and sensors, Bluetooth, rear knockdown seats, Audi drive selectAccessories Keyless Entry/start, Audi MMI, Bluetooth, LED Headlamps, Audi Drive Select, Paddle Shift, Electric Leather Driver Seats.Accessories Electric Seat, Full Digital Speedometer, Keyless Access, Bluetooth, LED Headlights, Reverse Cam, Rear AC. Knockdown rear seat, retractable side mirrorAccessories BC/BR coilovers, keyless entry/start, reverse camera, leather seats, dual zone a/c, Audi MMI, custom 5d car mats, multi-function steering wheel.Accessories Factory fitted audio system, Bluetooth, driver's electric seats, multi function steering, reverse sensors, Audi MMI, Audi drive select, rear aircon.Accessories Factory fitted audio system, Bluetooth, driver's electric seats, multi function steering, reverse sensors, Audi MMI, Audi drive select, rear aircon.","Description $0 downpayment, full loan available. Low mileage, mint nano grey A3 1.0 sedan for sale! Immaculate condition with full service history with agent (Premium Automobiles). Great fuel economy at 23.1km/l, reliability, low road tax and overall a fantastic car to drive. Trade in/consignment available. STA evaluation welcome. Call us today!Description Extended warranty provided, Agent unit, great fuel consumption, super well maintained by previous careful owner, accident free, high trade in with easy in house finance and attractive interest rate, must view this sporty white sedan to appreciate its pristine condition, professional after sales service and in house workshop support, All dealers welcomedDescription Pristine condition! Agent unit! 1 owner, low mileage! Full service done up at Premium Automobiles! Comprehensive warranty till 08/2023! 100% loan available from 2.28% per annum! 1 to 1 exchange without cash top up! Hurry and call our friendly sales adviser for more information before it's sold! Best price guaranteed!Description Rare white unit! Fully maintained and regularly serviced at every 8km! Upgraded RS3 body kit! Full tank 700km, expressway 21km/litre, low mileage. Price negotiable.Description 5 years Audi unlimited mileage warranty, 1 owner, easy and flexible in house loan available, Audi drive select, auto xenon lights with LEDs DRL, cruise control, dual zone climatic aircon, auto start/stop function, in car camera. Sporty Red, serviced and maintained by Premium Automobiles. Drive Audi At Honda Vezel Price.Description Immaculate condition. Most wear and tear done. Direct deal welcome. Ready to transfer anytime, powerful yet low in fuel consumption. STA can be arrange to let u drive away with a piece of mind. Do not hesitate! Fast loan approval with flexible financing options! 100% loan/full loan/low interest rates available! High trade in! Contact to view this beauty today! Viewing by appointment only.Description 1 Owner, Fully Serviced And Maintained By Agent, Low Mileage And Fully Stock, Accident Free And In Excellent Condition, Warranty Till May 2023, Call Us For A Further Discussion Today!Description 1 Owner Unit! Fully serviced and maintained by agent since day one with servicing record. Extremely well maintained. No repairs needed, very neat and clean interior. High trade-in price, 100% loan available! Attractive low interest rates to cater all your financial needs! Kindly reach out to our friendly sales consultant for direct viewing.Description Just in! Stage 2 tuned by reputable shop. RS3 Bumper & Carbon Diffuser, lowered stance with BC/BR Coilovers. Wear & tear parts replaced. Buy & drive without worries with VAG's improved built quality & 7spd wet clutch S-tronic gearbox. We offer high trade-in for your car. Competitive interest rates & 100% loan options available. Call/WhatsApp our friendly & knowledgeable sales consultants now!Description Fully maintained/serviced by Audi Service Centre. Reverse camera installed. Owner will be giving a free spray paint (black).Description Original paintwork since day 1. Tip-top condition. Genuine low mileage clocked. Agent warranty till june 2023. No repairs needed. Upgraded sport rims. Immediate ownership transfer upon collection. Trade in is welcomed. Contact our friendly sales advisors now for viewing arrangement.",5.185989013132896,6.0,1,0,0,0,1,0,0,0,0,0,0,0
22,Audi A3 Sedan 1.4A TFSI Ambiente,48200.0,16435.0,110500.0,624.0,21942.0,56515.0,1310.0,91.0,"Features 1.4L DOHC turbocharged engine, 7 speed S tronic transmission, paddle shifters. View specs of the Audi A3 Sedan (2014-2021)Features Powerful and responsive 1.4 litres 4 cylinder DOHC turbocharged engine paired to a 7 speed auto transmission, Comes with traction control and ABS. View specs of the Audi A3 Sedan (2014-2021)","Accessories BBS rims, Big brake kit, RS3 bodykit with spoiler, BOV, open pod air intake, paddle shifter, auto retractable audi screen.Accessories Sports rims, multi function steering with paddle shifters, factory Audi display screen, rear air conditioning and Xenon headlights.","Description Excellent condition, best looking one in the market. High loan available! Sta/vicom inspection welcomed. Trade ins are welcomed. Cheap roadtax and insurance. Contact our sales agent now to schedule for a test drive!Description $0 downpayment, full loan available. The A3 has a timeless sporty design yet speaks about style and elegance. Redefined interior with pop up Audi display screen and multi function steering wheel. Suitable for family use as well. Feel free to contact us for viewing, no obligations. Flexible loan and trade-ins are welcomed. Viewing is by appointment only.",7.579139698064402,8.0,1,0,0,0,1,0,0,0,0,0,0,0
23,Audi A3 Sedan 1.4A TFSI CoD S-tronic,97800.0,15250.0,72000.0,624.0,36214.0,32900.0,1320.0,110.0,"Features Powerful 1.4L TFSI 4 cylinders turbocharged producing 123bhp cruise control, smooth 7 speed auto S-tronic, electro mechanical parking brake. View specs of the Audi S3 Sportback (2009-2013)Features Efficient and powerful 1.4L turbocharged 4 cylinders engine producing 147bhp. 7 speed S-tronic. Audi drive select. Cruise control. View specs of the Audi A3 Sedan (2014-2021)Features Efficient & powerful 1.4L turbocharged 4 cylinder engine producing 147bhp. 7 speed S-tronic. Audi drive select. Cruise control. View specs of the Audi A3 Sedan (2014-2021)","Accessories 5 years agent warranty. Upgraded RS3 front grill.Accessories Sport rims, Rriver and passenger electric leather seat, Factory fitted audio system, rear aircon, Audi drive select.Accessories Keyless entry/start, Audi mmi, Bluetooth, led headlamps, Audi drive select, paddle shift, cruise control, electric driver seat, reverse camera.","Description Promotional banks interest rates. Immediate ownership transfer. Best best trade in offers, no hassle transaction, we will suits your preferences. No hidden cost. Full refund policy. Guarantee good condition car and good deal.Description 1 owner Unit! Mileage less than 10k Per Year! Fully Agent Service! 100% loan available! Attractive low interest rates to cater all your financial needs! Quick delivery with ready stocks. Book a test drive to believe it!. Kindly reach out to our friendly sales consultant for direct viewing!Description Agent Warranty Till October 2023 For Peace Of Mind! Immaculate condition. Well taken care of. Various loan schemes to suit your needs. High trade in. Don't miss! Call now for a viewing today! You won't be disappointed!",4.462701341900019,5.0,1,0,0,0,1,0,0,0,0,0,0,0
24,Audi A3 Sedan 1.4A TFSI S-tronic Ambiente,38300.0,15570.0,100710.0,624.0,23004.5,66655.5,1310.0,91.0,"Features 1.4L 4 cylinders inline 16 valve DOHC turbocharged engine, 7 speed S-tronic transmission, navigation, multi function steering control. View specs of the Audi A3 Sedan (2014-2021)Features Powerful and fuel efficient 1.4l 4 cylinders inline DOHC turbocharged engine, 7 speed auto s-tronic transmission, ABS and traction control. View specs of the Audi S3 Sportback (2009-2013)Features 7 speed (A) S-tronic transmission with paddle shifters. 1.4L in-line 4 cylinders turbocharged TSI engine producing 123bhp/200nm. View specs of the Audi A3 Sedan (2014-2021)Features Fuel efficient 1.4l TFSI 4 cylinders turbocharged engine producing 123bhp an max torque of 200nm. 7 speed S-tronic transmission. View specs of the Audi A3 Sedan (2014-2021)","Accessories Leather seats, sports rims, factory fitted audio with Bluetooth, GPS, rear aircon, keyless entry/start.Accessories Audi sound system with Bluetooth, auto climate control, auto start/stop, reverse sensors, rear knockdown seats.Accessories Audi MMI system. Navi system, multi function steering wheel, keyless engine start, electric folding side mirrors, DRL, reverse sensors.Accessories Audi MMI system. Leather seats, reverse sensors, rear aircon, multi functional steering, sporty exterior and interior, sports rims.","Description Low mileage. Good condition. Smooth, pleasant drive. High specs with navigation and voice command, paddle shifters etc. Buy with peace of mind. Min PARF $12.5k. Good Value Buy!Description Pristine unit with low mileage clocked! Meticulous owner has upgraded the car with face-lifted tail lights, RS front grill and a big brake kit. No messy mods made to this beauty! The power of Audi's s-tronic makes the gear shifting seamless. Bank/full loan available. WhatsApp or call now! Strictly by appointments only!Description Provide 1 year warranty. $0 downpayment available! Trade in welcome, in house finance/bank loan available. WhatsApp or call for appointment and viewing!Description 100% Loan Available, Consignment unit, WhatsApp/call for viewing appointment. Stock unit with service record.",8.187358876146595,9.0,1,0,0,0,1,0,0,0,0,0,0,0
25,Audi A3 Sedan 1.4A TFSI S-tronic Attraction,68800.0,17290.0,75000.0,624.0,27809.0,53000.0,1310.0,92.0,"Features Fuel efficient 1.4L inline 4 cylinders turbocharged engine producing 123bhp, 7 speed auto transmission, ABS and airbags. View specs of the Audi S3 Sportback (2009-2013)","Accessories Audi MMI system with Bluetooth, sports seats, reverse sensors, retractable side mirrors, rear aircon, paddle shifter & multi functional steering wheel",Description Pristine condition! New Paintwork! Full service and all wear and tear parts done up at Platinum Motoring in house workshop! 100% loan available from 1.88% per annum! 1 to 1 exchange without cash top up! Hurry and call our friendly sales adviser for more information before it's sold! Best price guaranteed!,6.470920519982211,7.0,1,0,0,0,1,0,0,0,0,0,0,0
